game_date,start_time_utc,away_team,home_team,away_score,home_score,winner,away_implied_win_prob,home_implied_win_prob
2026-04-08,2026-04-08 22:40:00+00:00,Cincinnati Reds,Miami Marlins,4,7,Miami Marlins,0.46,0.54
2026-04-08,2026-04-08 23:40:00+00:00,Detroit Tigers,Minnesota Twins,6,8,Minnesota Twins,0.58,0.42
2026-04-09,2026-04-09 16:10:00+00:00,Cincinnati Reds,Miami Marlins,1,8,Miami Marlins,0.47,0.53
2026-04-09,2026-04-09 17:40:00+00:00,Detroit Tigers,Minnesota Twins,1,3,Minnesota Twins,0.55,0.45
2026-04-09,2026-04-09 23:40:00+00:00,Chicago White Sox,Kansas City Royals,2,0,Chicago White Sox,0.38,0.62
2026-04-10,2026-04-10 01:40:00+00:00,Colorado Rockies,San Diego Padres,3,7,San Diego Padres,0.37,0.63
2026-04-10,2026-04-10 18:20:00+00:00,Pittsburgh Pirates,Chicago Cubs,2,0,Pittsburgh Pirates,0.43,0.57
2026-04-10,2026-04-10 22:40:00+00:00,Miami Marlins,Detroit Tigers,0,2,Detroit Tigers,0.44,0.56
2026-04-10,2026-04-10 22:45:00+00:00,Los Angeles Angels,Cincinnati Reds,10,2,Los Angeles Angels,0.39,0.61
2026-04-10,2026-04-10 23:07:00+00:00,Minnesota Twins,Toronto Blue Jays,4,10,Toronto Blue Jays,0.44,0.56
2026-04-10,2026-04-10 23:10:00+00:00,New York Yankees,Tampa Bay Rays,3,5,Tampa Bay Rays,0.52,0.48
2026-04-10,2026-04-10 23:15:00+00:00,San Francisco Giants,Baltimore Orioles,6,3,San Francisco Giants,0.47,0.53
2026-04-10,2026-04-10 23:15:00+00:00,Cleveland Guardians,Atlanta Braves,5,11,Atlanta Braves,0.45,0.55
2026-04-10,2026-04-10 23:40:00+00:00,Chicago White Sox,Kansas City Royals,0,2,Kansas City Royals,0.39,0.61
2026-04-10,2026-04-10 23:40:00+00:00,Washington Nationals,Milwaukee Brewers,7,3,Washington Nationals,0.35,0.65
2026-04-11,2026-04-11 00:15:00+00:00,Boston Red Sox,St. Louis Cardinals,2,3,St. Louis Cardinals,0.56,0.44
2026-04-11,2026-04-11 01:40:00+00:00,Colorado Rockies,San Diego Padres,2,5,San Diego Padres,0.41,0.59
2026-04-11,2026-04-11 01:40:00+00:00,Houston Astros,Seattle Mariners,6,9,Seattle Mariners,0.45,0.55
2026-04-11,2026-04-11 02:10:00+00:00,Texas Rangers,Los Angeles Dodgers,7,8,Los Angeles Dodgers,0.38,0.62
2026-04-11,2026-04-11 17:10:00+00:00,Miami Marlins,Detroit Tigers,1,6,Detroit Tigers,0.45,0.55
2026-04-11,2026-04-11 18:20:00+00:00,Pittsburgh Pirates,Chicago Cubs,4,3,Pittsburgh Pirates,0.44,0.56
2026-04-11,2026-04-11 19:07:00+00:00,Minnesota Twins,Toronto Blue Jays,7,4,Minnesota Twins,0.48,0.52
