game_date,start_time_utc,away_team,home_team,away_score,home_score,winner,away_implied_win_prob,home_implied_win_prob
2026-07-20,2026-07-20 23:10:00+00:00,Los Angeles Dodgers,Philadelphia Phillies,7,10,Philadelphia Phillies,0.44,0.56
2026-07-20,2026-07-20 23:15:00+00:00,San Diego Padres,Atlanta Braves,2,3,Atlanta Braves,0.45,0.55
2026-07-20,2026-07-20 23:40:00+00:00,San Francisco Giants,Kansas City Royals,3,4,Kansas City Royals,0.47,0.53
2026-07-20,2026-07-20 23:40:00+00:00,New York Mets,Milwaukee Brewers,3,8,Milwaukee Brewers,0.34,0.66
2026-07-21,2026-07-21 00:05:00+00:00,Detroit Tigers,Chicago Cubs,8,6,Detroit Tigers,0.49,0.51
2026-07-21,2026-07-21 00:05:00+00:00,Chicago White Sox,Texas Rangers,10,3,Chicago White Sox,0.47,0.53
2026-07-21,2026-07-21 00:10:00+00:00,Miami Marlins,Houston Astros,5,8,Houston Astros,0.45,0.55
2026-07-21,2026-07-21 00:40:00+00:00,Washington Nationals,Colorado Rockies,7,3,Washington Nationals,0.49,0.51
2026-07-21,2026-07-21 01:40:00+00:00,Cincinnati Reds,Seattle Mariners,0,8,Seattle Mariners,0.49,0.51
2026-07-21,2026-07-21 02:10:00+00:00,St. Louis Cardinals,Los Angeles Angels,2,3,Los Angeles Angels,0.52,0.48
2026-07-21,2026-07-21 22:40:00+00:00,Minnesota Twins,Cleveland Guardians,2,5,Cleveland Guardians,0.42,0.58
2026-07-21,2026-07-21 22:40:00+00:00,Los Angeles Dodgers,Philadelphia Phillies,2,1,Los Angeles Dodgers,0.48,0.52
2026-07-21,2026-07-21 23:07:00+00:00,Tampa Bay Rays,Toronto Blue Jays,12,2,Tampa Bay Rays,0.51,0.49
2026-07-21,2026-07-21 23:15:00+00:00,San Diego Padres,Atlanta Braves,8,3,San Diego Padres,0.43,0.57
2026-07-21,2026-07-21 23:40:00+00:00,San Francisco Giants,Kansas City Royals,2,3,Kansas City Royals,0.52,0.48
2026-07-21,2026-07-21 23:40:00+00:00,New York Mets,Milwaukee Brewers,4,0,New York Mets,0.45,0.55
2026-07-22,2026-07-22 00:05:00+00:00,Detroit Tigers,Chicago Cubs,2,11,Chicago Cubs,0.48,0.52
2026-07-22,2026-07-22 00:05:00+00:00,Chicago White Sox,Texas Rangers,0,10,Texas Rangers,0.49,0.51
2026-07-22,2026-07-22 00:10:00+00:00,Miami Marlins,Houston Astros,3,5,Houston Astros,0.48,0.52
2026-07-22,2026-07-22 00:40:00+00:00,Washington Nationals,Colorado Rockies,7,8,Colorado Rockies,0.55,0.45
2026-07-22,2026-07-22 01:38:00+00:00,St. Louis Cardinals,Los Angeles Angels,1,5,Los Angeles Angels,0.48,0.52
2026-07-22,2026-07-22 01:40:00+00:00,Cincinnati Reds,Seattle Mariners,4,2,Cincinnati Reds,0.43,0.57
2026-07-22,2026-07-22 17:05:00+00:00,Pittsburgh Pirates,New York Yankees,5,3,Pittsburgh Pirates,0.38,0.62
2026-07-22,2026-07-22 23:05:00+00:00,Pittsburgh Pirates,New York Yankees,0,2,New York Yankees,0.99,0.01
