game_date,start_time_utc,away_team,home_team,away_score,home_score,winner,away_implied_win_prob,home_implied_win_prob
2026-06-23,2026-06-23 22:45:00+00:00,Philadelphia Phillies,Washington Nationals,14,9,Philadelphia Phillies,0.62,0.38
2026-06-23,2026-06-23 23:10:00+00:00,Chicago Cubs,New York Mets,9,6,Chicago Cubs,0.52,0.48
2026-06-23,2026-06-23 23:10:00+00:00,Milwaukee Brewers,Cincinnati Reds,2,0,Milwaukee Brewers,0.5,0.5
2026-06-23,2026-06-23 23:40:00+00:00,Los Angeles Dodgers,Minnesota Twins,12,3,Los Angeles Dodgers,0.63,0.37
2026-06-23,2026-06-23 23:40:00+00:00,Cleveland Guardians,Chicago White Sox,1,2,Chicago White Sox,0.52,0.48
2026-06-24,2026-06-24 00:40:00+00:00,Boston Red Sox,Colorado Rockies,5,2,Boston Red Sox,0.6,0.4
2026-06-24,2026-06-24 01:38:00+00:00,Baltimore Orioles,Los Angeles Angels,1,5,Los Angeles Angels,0.49,0.51
2026-06-24,2026-06-24 01:40:00+00:00,Atlanta Braves,San Diego Padres,6,7,San Diego Padres,0.54,0.46
2026-06-24,2026-06-24 16:10:00+00:00,Texas Rangers,Miami Marlins,2,4,Miami Marlins,0.53,0.47
2026-06-24,2026-06-24 17:10:00+00:00,Chicago Cubs,New York Mets,10,3,Chicago Cubs,0.5,0.5
2026-06-24,2026-06-24 23:10:00+00:00,Chicago Cubs,New York Mets,10,5,Chicago Cubs,0.51,0.49
2026-06-24,2026-06-24 18:10:00+00:00,Cleveland Guardians,Chicago White Sox,4,3,Cleveland Guardians,0.52,0.48
2026-06-24,2026-06-24 19:10:00+00:00,Boston Red Sox,Colorado Rockies,6,8,Colorado Rockies,0.62,0.38
2026-06-24,2026-06-24 20:07:00+00:00,Baltimore Orioles,Los Angeles Angels,6,7,Los Angeles Angels,0.48,0.52
2026-06-24,2026-06-24 22:40:00+00:00,Seattle Mariners,Pittsburgh Pirates,1,11,Pittsburgh Pirates,0.49,0.51
2026-06-24,2026-06-24 22:40:00+00:00,Kansas City Royals,Tampa Bay Rays,3,5,Tampa Bay Rays,0.43,0.57
2026-06-24,2026-06-24 22:40:00+00:00,New York Yankees,Detroit Tigers,4,2,New York Yankees,0.47,0.53
2026-06-24,2026-06-24 22:45:00+00:00,Philadelphia Phillies,Washington Nationals,5,4,Philadelphia Phillies,0.54,0.46
2026-06-24,2026-06-24 23:07:00+00:00,Houston Astros,Toronto Blue Jays,3,1,Houston Astros,0.43,0.57
2026-06-24,2026-06-24 23:10:00+00:00,Milwaukee Brewers,Cincinnati Reds,6,5,Milwaukee Brewers,0.56,0.44
2026-06-24,2026-06-24 23:40:00+00:00,Los Angeles Dodgers,Minnesota Twins,4,3,Los Angeles Dodgers,0.61,0.39
2026-06-25,2026-06-25 16:10:00+00:00,Kansas City Royals,Tampa Bay Rays,2,13,Tampa Bay Rays,0.44,0.56
2026-06-25,2026-06-25 16:35:00+00:00,Seattle Mariners,Pittsburgh Pirates,1,5,Pittsburgh Pirates,0.57,0.43
2026-06-25,2026-06-25 22:40:00+00:00,Houston Astros,Detroit Tigers,2,1,Houston Astros,0.49,0.51
2026-06-25,2026-06-25 22:45:00+00:00,Philadelphia Phillies,Washington Nationals,10,5,Philadelphia Phillies,0.62,0.38
2026-06-25,2026-06-25 23:07:00+00:00,Texas Rangers,Toronto Blue Jays,6,5,Texas Rangers,0.44,0.56
2026-06-25,2026-06-25 23:10:00+00:00,Chicago Cubs,New York Mets,4,3,Chicago Cubs,0.51,0.49
2026-06-25,2026-06-25 23:10:00+00:00,New York Yankees,Boston Red Sox,3,6,Boston Red Sox,0.58,0.42
2026-06-26,2026-06-26 22:40:00+00:00,Houston Astros,Detroit Tigers,0,8,Detroit Tigers,0.49,0.51
2026-06-26,2026-06-26 22:40:00+00:00,Cincinnati Reds,Pittsburgh Pirates,6,4,Cincinnati Reds,0.38,0.62
2026-06-26,2026-06-26 23:05:00+00:00,Washington Nationals,Baltimore Orioles,1,3,Baltimore Orioles,0.45,0.55
2026-06-26,2026-06-26 23:07:00+00:00,Texas Rangers,Toronto Blue Jays,5,4,Texas Rangers,0.5,0.5
2026-06-26,2026-06-26 23:10:00+00:00,Seattle Mariners,Cleveland Guardians,3,1,Seattle Mariners,0.5,0.5
2026-06-26,2026-06-26 23:10:00+00:00,Philadelphia Phillies,New York Mets,2,1,Philadelphia Phillies,0.61,0.39
2026-06-26,2026-06-26 23:10:00+00:00,New York Yankees,Boston Red Sox,1,6,Boston Red Sox,0.51,0.49
2026-06-26,2026-06-26 23:40:00+00:00,Kansas City Royals,Chicago White Sox,1,22,Chicago White Sox,0.46,0.54
2026-06-26,2026-06-26 23:45:00+00:00,Chicago Cubs,Milwaukee Brewers,2,6,Milwaukee Brewers,0.32,0.68
2026-06-27,2026-06-27 00:10:00+00:00,Colorado Rockies,Minnesota Twins,8,9,Minnesota Twins,0.41,0.59
2026-06-27,2026-06-27 00:15:00+00:00,Miami Marlins,St. Louis Cardinals,4,0,Miami Marlins,0.43,0.57
2026-06-27,2026-06-27 01:45:00+00:00,Los Angeles Dodgers,San Diego Padres,1,7,San Diego Padres,0.65,0.35
